architecture,snr_db,channel,n,mse_frequency_mean,mse_frequency_sd,phase_circular_rmse_mean,phase_circular_rmse_sd,channel_nmse_mean,channel_nmse_sd,particle_ess_mean_mean,particle_ess_mean_sd,unique_ancestor_mean_mean,unique_ancestor_mean_sd,mala_acceptance_mean,mala_acceptance_sd,resampling_count_mean,resampling_count_sd,latency_ms_per_sample_mean,latency_ms_per_sample_sd,achieved_snr_db_mean,achieved_snr_db_sd
Amortized joint surrogate,-5,LOS,100,212.208295495,137.649176999,1.35511513327,0.263212860984,0.0899478375648,0.0400655458931,55.4146123415,1.02351530362,40.8276749362,1.33908208432,0.791957359978,0.0139508591579,24.22,2.86243521386,1.057719709,0.177170401963,-5.00396531,0.518065690909
Amortized joint surrogate,-5,MP,100,237.159177691,136.983108962,1.36018145049,0.264128070792,0.139900222544,0.0471429799348,55.5134691506,1.02737845429,41.1668996312,1.335318511,0.744893930599,0.01372827816,24.11,2.82089963442,1.0837702305,0.135388784293,-4.98381375169,0.524998638482
Amortized joint surrogate,-5,NLOS,100,208.247314287,119.66038365,1.53839160341,0.227426729381,0.28950413608,0.10525478073,55.5227064003,1.00749059528,40.7102128641,1.66095813974,0.756898357573,0.0139765847079,24.9,3.16387436699,1.1259793105,0.160107896329,-4.84586718787,0.592580080938
Amortized joint surrogate,5,LOS,100,150.320869339,160.66247698,1.03114405751,0.406930242389,0.112927348543,0.0486853617257,58.1107275948,1.25076657014,33.6639515367,1.81581964436,0.777939523579,0.0169608387436,40.23,3.98445210611,1.50547856217,0.21940697857,5.10802284278,0.553915908759
Amortized joint surrogate,5,MP,100,210.948623884,200.095179244,1.21191468411,0.375282865003,0.205499125002,0.070297102682,58.4966511497,1.39107525572,32.7461612302,1.87803937826,0.727853072091,0.0168289255601,41.51,4.46421235149,1.6142124045,0.261650705759,5.09089674752,0.564144704304
Amortized joint surrogate,5,NLOS,100,223.355243611,185.349408047,1.50025432485,0.314160714026,0.391129938647,0.180400288263,59.0619701773,1.38937326005,31.9291448085,2.33854495789,0.741349115755,0.0165157609029,44.04,4.63391101696,1.711846564,0.267995893855,4.99593039122,0.525510061101
Amortized joint surrogate,15,LOS,100,233.474722597,237.016282323,1.29848496656,0.43933515876,0.186189802884,0.0843748092322,62.7886360865,0.936802067573,16.7256237771,4.87096590329,0.600924049816,0.0658500848047,56.59,2.44988146487,1.981934082,0.238786394667,15.1046755139,0.497513731835
Amortized joint surrogate,15,MP,100,325.184335225,299.080296638,1.3873632716,0.368428427688,0.293808450852,0.105543126937,63.0755833448,1.04576972121,15.2484033876,5.40710494006,0.570418535108,0.0611521297827,57.55,2.65670487787,2.0680634505,0.224039973993,15.0566132699,0.527569656491
Amortized joint surrogate,15,NLOS,100,344.801010634,261.301516988,1.65073440501,0.292148612952,0.521483298845,0.188043328381,63.4186046296,0.833787269795,13.3370894283,4.30166725136,0.569575000702,0.0598603265979,58.46,2.0812777738,2.08444866033,0.213529800938,15.0087386651,0.507710076921
Analytical joint score,-5,LOS,100,215.052456662,148.61254128,1.33084882702,0.250931786336,0.0875944648477,0.0428865294623,55.3859282633,1.14734959314,40.8693146042,1.33157202363,0.97605396225,0.00419072678677,24.22,2.64223657938,1.00667346167,0.144126672834,-5.00396531,0.518065690909
Analytical joint score,-5,MP,100,246.890581501,151.531164755,1.37235749297,0.252287858789,0.145477613126,0.0536120206774,55.4265483154,1.10438978662,41.0003578384,1.62932450797,0.973760579012,0.00409204935718,24.03,2.99310655819,1.0460209275,0.155720692755,-4.98381375169,0.524998638482
Analytical joint score,-5,NLOS,100,210.563755493,119.302704035,1.51585824914,0.226652189714,0.281654648355,0.101231884228,55.3185947511,1.05376826105,40.3963615658,1.70973043477,0.973829650454,0.00426233144164,24.63,3.33834471775,1.1020115085,0.476574724491,-4.84586718787,0.592580080938
Analytical joint score,5,LOS,100,183.242872638,219.419712884,1.08640834784,0.46490601389,0.117402504678,0.0507905484082,58.1267330975,1.28726503293,33.7656724469,1.8825905718,0.975635055495,0.00304881819751,39.87,4.20114222082,1.42640835833,0.214718718779,5.10802284278,0.553915908759
Analytical joint score,5,MP,100,231.583687515,214.254358713,1.24609678355,0.360699238981,0.214587705908,0.0796473495418,58.6691406315,1.30314937462,32.9853275856,1.94099077406,0.973645131533,0.00300737102432,42.01,4.17664260314,1.55767275617,0.178464733403,5.09089674752,0.564144704304
Analytical joint score,5,NLOS,100,229.595121293,184.305628844,1.49729783844,0.292350981086,0.394706624428,0.149964622146,59.1162291306,1.41574532122,31.8147606351,2.40566823195,0.973757906866,0.0032902002167,44.02,4.52150864248,1.6047283695,0.274755726226,4.99593039122,0.525510061101
Analytical joint score,15,LOS,100,277.923317211,236.812889965,1.34079882988,0.40309582673,0.182948421503,0.0764134047922,62.9330463061,0.924460203868,16.2083532052,4.82371912983,0.972836331533,0.00326285155298,57.12,2.26202733776,1.8736401125,0.192859867638,15.1046755139,0.497513731835
Analytical joint score,15,MP,100,298.243100514,281.374279519,1.38336329281,0.383823565371,0.28931935192,0.107405907514,63.1613063865,0.925344236452,15.3790125697,5.33792998947,0.972211596435,0.00386052691415,57.72,2.42495444089,1.9843562555,0.264527897644,15.0566132699,0.527569656491
Analytical joint score,15,NLOS,100,327.717187635,229.408086371,1.61680431403,0.299283585379,0.569231172475,0.20869501346,63.3149779874,0.822401823433,13.3244232996,4.53713769145,0.974982305209,0.00301282831552,58.18,2.066471154,1.97179247883,0.204819176248,15.0087386651,0.507710076921
