architecture,sample,true_f1_hz,inferred_f1_hz,true_f2_hz,inferred_f2_hz,true_phase1,inferred_phase1,particle_ess
Analytical joint score,0,41.484265982590934,34.611646112365136,54.22341400722091,53.46756247083957,3.003043713912709,5.952930989395561,64.0
Analytical joint score,1,41.514189290053636,27.742651253744924,53.99084748045632,51.00168223541891,5.157567700987222,4.75314771819183,64.0
Analytical joint score,2,41.438093325164914,26.025397466622348,54.27018534710655,51.36317104543716,0.8246745390239001,5.660503707436419,58.068111140068254
Analytical joint score,3,40.57451877085865,34.97727749408465,54.40927988434361,49.642391019507876,2.925444011994778,5.605627196158568,64.0
Analytical joint score,4,40.91122163187984,43.35565092884223,53.820076215411056,48.41504151120022,4.879157639783413,0.8788799219159082,46.3712874488538
Analytical joint score,5,40.93689487283392,45.88436909387143,53.4836467541475,47.56863937109837,0.5879143247286782,3.071731331357058,64.0
Analytical joint score,6,41.71835835605753,45.62738007080828,53.492399744503096,48.554786556033704,2.643841837468828,0.19400113499706093,52.80347051963436
Analytical joint score,7,41.88937808343153,35.454445320844684,53.049473705464166,51.662164505593864,4.756217958029735,3.305751579384751,64.0
Analytical joint score,8,42.057407308243995,52.12862377528431,52.36594305414012,49.92242089039405,0.5856682628468866,5.613633161701072,64.0
Analytical joint score,9,42.739696768935964,53.68983000314981,51.818082530369715,49.71511942203729,2.6804694401101887,2.2311496523156986,64.0
Analytical joint score,10,42.92609000124223,53.71523513955208,52.57363409380773,49.661088539186665,4.744082996762291,4.918443628239977,51.974851391715845
Analytical joint score,11,42.43449434451241,53.72160966401682,52.89442581108325,49.60180921724188,0.4455560871824611,1.2504880984666216,64.0
Analytical joint score,12,54.08988120697802,46.31684618487198,52.758730401122286,50.28248682395425,3.173260360835629,3.511071636867348,51.061835368902166
Analytical joint score,13,53.19108407628633,49.10164767409708,52.84566159050136,50.64626118698071,5.950551857932016,0.11128066243637232,50.49431725221735
Analytical joint score,14,53.58217315793386,47.59852881392018,52.83926997853058,50.74365158751101,2.2815310664310946,3.0668845489692824,64.0
Analytical joint score,15,53.58635646576638,50.357074206118384,53.38615025862689,53.479784803343186,4.9235447922877915,5.58835342952101,64.0
Analytical joint score,16,52.82677152538897,50.40281449984484,53.89593110094835,52.12466057899253,1.2260282312777173,1.876799760458316,53.15396798709936
Analytical joint score,17,53.4681394985052,51.06305313100934,53.338267708253746,53.18466017112581,3.84665041447997,4.309077152067945,64.0
Analytical joint score,18,52.80528047374749,52.43407141902741,53.485185675176325,53.909984358586755,0.09014007517669054,0.6069330581232948,51.18477039842175
Analytical joint score,19,52.96556536284588,53.47798537539747,53.666173324628176,54.548597733553045,2.737084412758525,3.3005660779217822,64.0
Analytical joint score,20,52.86968129913392,53.71844422389301,53.83881519689796,54.14882369983674,5.182658580632651,5.837059675293827,45.46149127477518
Analytical joint score,21,53.777908637311086,53.88685140470309,53.89170730891395,53.89406389717632,1.5273574817864803,2.1645893870446806,37.83809485871954
Analytical joint score,22,53.945500083108584,53.86159558200809,53.803820759754274,52.54185771260533,4.063060004218598,4.672304247432007,64.0
Analytical joint score,23,54.36290426786607,53.87253447426747,54.061957816220755,52.02055807170632,0.4643732894094157,0.9913830343142862,64.0
Analytical joint score,24,53.85112755475934,46.300289095786766,54.020111081213095,52.54629978499234,3.0275178943806544,3.3841360127883675,52.24291731246052
Analytical joint score,25,53.58797081103737,53.58257092104039,53.67165425182848,54.63880733439623,5.644244858397794,0.16463905900993064,64.0
Analytical joint score,26,54.15393503073865,54.14876124024845,53.77949901909192,54.599295859754434,2.0447094367771577,2.8533522344855355,55.36981503797838
Analytical joint score,27,53.7318129993779,54.305129780848205,54.804388416714986,53.150688625884044,4.5975679320622564,5.533380595339666,64.0
Analytical joint score,28,52.95640483963857,54.25871804338537,54.74108584820645,52.303472455341655,1.028915642045158,1.8928398212297861,48.8145460340249
Analytical joint score,29,53.206650471519005,54.05881120723378,54.2741447014707,51.86135183182976,3.606391923236796,4.508553496978372,64.0
Analytical joint score,30,53.14415931319953,54.01615219846975,53.82974489804125,50.64930531865723,6.214582406987645,0.7908038827857767,64.0
