response,transform,effect,df1,df2,F,p_value,partial_eta_squared,p_holm_within_response
mse_frequency,log,Architecture,1,99,0.783592986635,0.378189514957,0.00785292414496,1
mse_frequency,log,SNR,2,98,19.0935845981,9.94040932103e-08,0.280402107053,5.96424559262e-07
mse_frequency,log,Channel,2,98,21.1497840639,2.3137548077e-08,0.301494642444,1.61962836539e-07
mse_frequency,log,Architecture × SNR,2,98,0.144610524339,0.865543579841,0.00294255103045,1
mse_frequency,log,Architecture × Channel,2,98,0.578765014707,0.562494657337,0.0116736472668,1
mse_frequency,log,SNR × Channel,4,96,7.49583942687,2.68064288973e-05,0.237994591136,0.000134032144486
mse_frequency,log,Architecture × SNR × Channel,4,96,0.611176356891,0.655580178476,0.0248332850095,1
phase_circular_rmse,raw,Architecture,1,99,0.182244602084,0.670378279988,0.00183747204769,1
phase_circular_rmse,raw,SNR,2,98,38.4049892324,4.83429293281e-13,0.439391270106,2.90057575968e-12
phase_circular_rmse,raw,Channel,2,98,154.07201515,5.55589559045e-31,0.758706289669,3.88912691331e-30
phase_circular_rmse,raw,Architecture × SNR,2,98,0.609949602357,0.545427982268,0.0122949046965,1
phase_circular_rmse,raw,Architecture × Channel,2,98,0.975590124457,0.380600450915,0.0195213327552,1
phase_circular_rmse,raw,SNR × Channel,4,96,8.37571487908,7.71419256125e-06,0.258703627406,3.85709628062e-05
phase_circular_rmse,raw,Architecture × SNR × Channel,4,96,0.303123634689,0.875229795714,0.0124726203613,1
channel_nmse,log,Architecture,1,99,0.887854002001,0.348353203457,0.00888850812615,1
channel_nmse,log,SNR,2,98,420.635055657,8.0046633591e-49,0.895663666053,4.80279801546e-48
channel_nmse,log,Channel,2,98,1070.17709951,2.65195397273e-67,0.956217831815,1.85636778091e-66
channel_nmse,log,Architecture × SNR,2,98,1.49674630792,0.22892937688,0.0296404504717,0.915717507519
channel_nmse,log,Architecture × Channel,2,98,0.341621169054,0.711460195336,0.00692359028667,1
channel_nmse,log,SNR × Channel,4,96,1.82322339349,0.130617924629,0.0706040204859,0.653089623143
channel_nmse,log,Architecture × SNR × Channel,4,96,1.01825201353,0.401938533614,0.040700365996,1
particle_ess_mean,raw,Architecture,1,99,0.0170077918011,0.896503579518,0.000171766368025,1
particle_ess_mean,raw,SNR,2,98,6814.60815445,6.73808252849e-106,0.992860897811,4.71665776994e-105
particle_ess_mean,raw,Channel,2,98,20.781041516,2.99552540905e-08,0.297803544695,1.79731524543e-07
particle_ess_mean,raw,Architecture × SNR,2,98,2.23255303282,0.112681859601,0.043576845202,0.450727438406
particle_ess_mean,raw,Architecture × Channel,2,98,1.05500537508,0.352111181376,0.0210769206232,1
particle_ess_mean,raw,SNR × Channel,4,96,8.95457904076,3.44854782492e-06,0.271724880166,1.72427391246e-05
particle_ess_mean,raw,Architecture × SNR × Channel,4,96,0.287263499011,0.885603377148,0.011827742513,1
latency_ms_per_sample,log,Architecture,1,99,111.85233246,6.08100986759e-18,0.5304770934,3.64860592055e-17
latency_ms_per_sample,log,SNR,2,98,2676.96998949,3.01352969473e-86,0.982024747085,2.10947078631e-85
latency_ms_per_sample,log,Channel,2,98,60.1700071436,8.96487676436e-18,0.551158772615,4.48243838218e-17
latency_ms_per_sample,log,Architecture × SNR,2,98,0.248747455521,0.780267707348,0.00505083821159,1
latency_ms_per_sample,log,Architecture × Channel,2,98,2.07521805137,0.131010673853,0.0406306253902,0.393032021558
latency_ms_per_sample,log,SNR × Channel,4,96,3.80661498435,0.00645926996064,0.136896022277,0.0258370798426
latency_ms_per_sample,log,Architecture × SNR × Channel,4,96,0.282891282692,0.88842346894,0.0116498187715,1
