group,level,metric,n_pairs,n_blocks,mean_difference_surrogate_minus_analytical,ci95_low,ci95_high
Overall,All,mse_frequency,900,100,-8.345831966436613,-24.94195689735907,8.250292964485844
Overall,All,phase_circular_rmse,900,100,-0.006250008765618634,-0.03529976183569007,0.022799744304452807
Overall,All,channel_nmse,900,100,-0.005836927364231316,-0.014301314296215685,0.0026274595677530533
Overall,All,particle_ess_mean,900,100,-0.005504888247532602,-0.08926045796814552,0.07825068147308031
Overall,All,latency_ms_per_sample,900,100,0.07334986055557617,0.056227259896631965,0.09047246121452038
SNR,15.0,mse_frequency,300,100,-0.14117896763837393,-42.50497160672942,42.22261367145267
SNR,15.0,phase_circular_rmse,300,100,-0.0014612645199969373,-0.05875823753529341,0.055835708495299535
SNR,15.0,channel_nmse,300,100,-0.013339131105241606,-0.03381432522857626,0.007136063018093048
SNR,15.0,particle_ess_mean,300,100,-0.04216887301060678,-0.15347688647585153,0.06913914045463798
SNR,15.0,latency_ms_per_sample,300,100,0.1015524486667011,0.07291607398042471,0.1301888233529775
SNR,5.0,mse_frequency,300,100,-19.93231487075577,-51.722987342177305,11.858357600665766
SNR,5.0,phase_circular_rmse,300,100,-0.028829967786804408,-0.09053998875181808,0.03288005317820927
SNR,5.0,channel_nmse,300,100,-0.005713474274248776,-0.0204618420945544,0.009034893546056846
SNR,5.0,particle_ess_mean,300,100,-0.08091797926976486,-0.2529210389023556,0.09108508036282591
SNR,5.0,latency_ms_per_sample,300,100,0.08090934888889795,0.05433058464352819,0.1074881131342677
SNR,-5.0,mse_frequency,300,100,-4.964002060915698,-19.321232332487234,9.393228210655836
SNR,-5.0,phase_circular_rmse,300,100,0.011541206009945414,-0.024339466459021585,0.04742187847891241
SNR,-5.0,channel_nmse,300,100,0.0015418232867964298,-0.0062575884164058375,0.009341234989998698
SNR,-5.0,particle_ess_mean,300,100,0.10657218753777382,-0.019833520824447295,0.23297789589999496
SNR,-5.0,latency_ms_per_sample,300,100,0.03758778411112949,0.0007485567627853046,0.07442701145947367
Channel,LOS,mse_frequency,300,100,-26.73825302678248,-53.73051919103234,0.2540131374673855
Channel,LOS,phase_circular_rmse,300,100,-0.024437282468546432,-0.07751785988208976,0.028643294944996896
Channel,LOS,channel_nmse,300,100,0.00037319932121755673,-0.007567183518576229,0.008313582161011343
Channel,LOS,particle_ess_mean,300,100,-0.043910548025041504,-0.19538967037695965,0.10756857432687662
Channel,LOS,latency_ms_per_sample,300,100,0.07947014022224153,0.05641741546857582,0.10252286497590724
Channel,MP,mse_frequency,300,100,-1.1417442430360003,-30.789695072363852,28.50620658629185
Channel,MP,phase_circular_rmse,300,100,-0.014119387709748004,-0.06046244602337114,0.03222367060387514
Channel,MP,channel_nmse,300,100,-0.0033922908521997097,-0.01434276131866334,0.007558179614263921
Channel,MP,particle_ess_mean,300,100,-0.05709722941784611,-0.20471463627139752,0.09052017743570528
Channel,MP,latency_ms_per_sample,300,100,0.05933204877777917,0.0351679303628013,0.08349616719275704
Channel,NLOS,mse_frequency,300,100,2.8425013705086406,-25.82832843314457,31.51333117416185
Channel,NLOS,phase_circular_rmse,300,100,0.019806643881438525,-0.024024164661698752,0.0636374524245758
Channel,NLOS,channel_nmse,300,100,-0.014491690561711804,-0.03689655559352552,0.007913174470101907
Channel,NLOS,particle_ess_mean,300,100,0.08449311270028988,-0.05785383559592687,0.2268400609965066
Channel,NLOS,latency_ms_per_sample,300,100,0.08124739266670784,0.04540608007366188,0.11708870525975382
