group,level,metric,n_pairs,mean_difference_surrogate_minus_analytical,ci95_low,ci95_high
Overall,All,mse_frequency,900,-0.05732611985546915,-2.051410976692995,1.9367587369820567
Overall,All,latency_ms_per_window,900,19.294514696111115,17.662049081665984,20.926980310556246
Overall,All,ess,900,-0.6353450330900119,-0.9224569033257586,-0.3482331628542652
SNR,15.0,mse_frequency,300,-3.0811245116802186,-6.055258623204695,-0.10699040015574157
SNR,15.0,latency_ms_per_window,300,18.390635840833337,16.541778332028365,20.23949334963831
SNR,15.0,ess,300,-0.26495436103458936,-0.7257987160886369,0.19588999401945817
SNR,5.0,mse_frequency,300,0.15213548679269204,-2.6988146659365433,3.003085639521927
SNR,5.0,latency_ms_per_window,300,19.376717786666664,16.68928305750152,22.064152515831807
SNR,5.0,ess,300,-0.811963280937806,-1.3143368578274444,-0.30958970404816766
SNR,-5.0,mse_frequency,300,2.757010665321118,-1.586608202475396,7.1006295331176315
SNR,-5.0,latency_ms_per_window,300,20.116190460833334,16.440791456085105,23.791589465581563
SNR,-5.0,ess,300,-0.8291174572976401,-1.3584267371001735,-0.2998081774951066
Channel,LOS,mse_frequency,300,-0.18176787748175144,-3.1045840483578404,2.7410482933943374
Channel,LOS,latency_ms_per_window,300,20.91069089583333,16.539225129392307,25.282156662274353
Channel,LOS,ess,300,-0.458524769559833,-0.935028449735652,0.017978910615986
Channel,MP,mse_frequency,300,1.826110469774601,-2.0818968669918605,5.734117806541063
Channel,MP,latency_ms_per_window,300,18.8593502875,16.990909232788923,20.727791342211077
Channel,MP,ess,300,-0.5719819980778945,-1.0828221783319671,-0.06114181782382189
Channel,NLOS,mse_frequency,300,-1.8163209518592573,-5.303497803519731,1.6708558998012166
Channel,NLOS,latency_ms_per_window,300,18.113502904999997,16.883293001517305,19.34371280848269
Channel,NLOS,ess,300,-0.8755283316323079,-1.3838340738283879,-0.367222589436228
